material_id,formula_pretty,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,density,volume,nsites,theoretical,deprecated,elements,num_elements,crystal_system,spacegroup_number,spacegroup_symbol,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
mp-756246,NdZrO3,-9.195393210999999,-3.5634469955,0.086092308524989,0.0509,6.064921553203231,310.4431765214905,20,True,False,"Nd,O,Zr",3,Tetragonal,119,I-4m2,7.617524479277108,7.617524479277108,7.617524479277108,120.440739720186,120.440739720186,89.23829665940653
mp-771131,NdZrO3,-9.081454101,-3.4495078855,0.20003141852498801,0.0,6.583441724012115,142.99614026070765,10,True,False,"Nd,O,Zr",3,Monoclinic,12,C2/m,5.861205630217473,5.861205630217473,5.631084114607861,61.409006863350825,61.409006863350825,89.43292890184696
mp-1020622,SrZrO3,-8.6612185885,-3.644416241500001,0.017242586999996,3.168099999999999,5.382536375487199,139.96387922066543,10,True,False,"O,Sr,Zr",3,Tetragonal,127,P4/mbm,5.78296588,5.78296588,4.18518549,90.0,90.0,90.0
mp-1019544,BaZrO3,-8.701352408,-3.639240691,0.0,3.1163,6.148305055783227,149.38125101812372,10,False,False,"Ba,O,Zr",3,Tetragonal,140,I4/mcm,5.95393041,5.9566735096429495,5.95393041,119.98477327356406,90.0,119.98477327356406
mp-5076,SrZrO3,-8.6691658485,-3.652363501500001,0.009295326999996,3.5667,5.40852623021807,139.29130396935383,10,False,False,"O,Sr,Zr",3,Tetragonal,140,I4/mcm,5.8440420188140685,5.844042428843067,5.844044603108989,120.84016561649685,120.84016029087132,88.55086965626374
mp-754980,ZrMnO3,-9.56466298,-3.053943192586206,0.047255366999996,2.8707000000000003,5.047528871660136,127.74990701423611,10,True,False,"Mn,O,Zr",3,Trigonal,148,R-3,5.496104440860181,5.496020481834197,5.823815892205557,90.00097179267708,61.844624058591144,60.00094249787875
mp-761293,ZrCoO3,-8.8048382725,-2.6998381995000003,0.097064911999996,0.0,5.459938235577095,241.06116989455316,20,True,False,"Co,O,Zr",3,Trigonal,148,R-3,5.419936885718412,5.703626772843223,7.815718760741905,93.83185019742695,89.65627049987572,89.69350544024351
mp-754513,ZrMnO3,-9.569091926,-3.058372138586206,0.042826420999995,2.5635,5.09657261750533,126.52058400805868,10,True,False,"Mn,O,Zr",3,Trigonal,161,R3c,5.472075561637467,5.812280110234709,5.472013754624891,118.0757670578724,119.99845207409997,61.92016265603442
mp-1178354,EuZrO3,-10.291737049249999,-3.55579793725,0.084392949250002,0.46629999999999905,6.603493935872536,585.7820910571171,40,True,False,"Eu,O,Zr",3,Cubic,198,P2_13,8.367172,8.367172,8.367172,90.0,90.0,90.0
mp-557203,SrZrO3,-8.62373121625,-3.606928869250001,0.054729959249996005,3.542,5.090274637116907,592.0000195401844,40,False,False,"O,Sr,Zr",3,Cubic,198,P2_13,8.396673,8.396673,8.396673,90.0,90.0,90.0
mp-1016845,ZrCdO3,-7.352074369999999,-2.481755602999999,0.34487558900000104,0.0,5.806339458576674,71.96388740867712,5,True,False,"Cd,O,Zr",3,Cubic,221,Pm-3m,4.159472,4.159472,4.159472,90.0,90.0,90.0
mp-1016871,ZrHgO3,-6.932652041999999,-2.192400905500001,0.34979274050000103,0.0,7.698366167909752,73.29755705300552,5,True,False,"Hg,O,Zr",3,Cubic,221,Pm-3m,4.18501,4.18501,4.18501,90.0,90.0,90.0
mp-1016883,ZrZnO3,-7.176823657999999,-2.246558206999999,0.7579720910000011,0.0,4.7781155825131,71.11550484229129,5,True,False,"O,Zn,Zr",3,Cubic,221,Pm-3m,4.143062,4.143062,4.143062,90.0,90.0,90.0
mp-1017000,MgZrO3,-7.840343098,-2.835932366,0.667561955,1.0257,3.8453875714012353,70.61532784659279,5,True,False,"Mg,O,Zr",3,Cubic,221,Pm-3m,4.133326,4.133326,4.133326,90.0,90.0,90.0
mp-1068577,ZrPbO3,-8.214781556,-2.793935413,0.08222417481249701,2.2792,7.715050540923727,74.56174053380131,5,False,False,"O,Pb,Zr",3,Cubic,221,Pm-3m,4.208933,4.208933,4.208933,90.0,90.0,90.0
mp-1183043,ZrSiO3,-7.983369882,-2.219989547,1.072800042249998,0.0,5.650489094658311,49.16759723607481,5,True,False,"O,Si,Zr",3,Cubic,221,Pm-3m,3.663472999999999,3.663472999999999,3.663472999999999,90.0,90.0,90.0
mp-1183044,ZrTlO3,-7.606904402,-2.454293249666669,0.23488012733333002,0.0,7.632104481985796,74.75924335094658,5,True,False,"O,Tl,Zr",3,Cubic,221,Pm-3m,4.212646,4.212646,4.212646,90.0,90.0,90.0
mp-1184599,GdZrO3,-10.773722312,-3.280181134999999,0.39293696174999904,0.0,6.826865628840743,72.1126937347448,5,True,False,"Gd,O,Zr",3,Cubic,221,Pm-3m,4.162337,4.162337,4.162337,90.0,90.0,90.0
mp-1184950,KZrO3,-7.699603071999999,-2.795012398449999,0.069763034333333,0.0,3.889375724926838,76.13256665533781,5,True,False,"K,O,Zr",3,Cubic,221,Pm-3m,4.238285,4.238285,4.238285,90.0,90.0,90.0
mp-1185065,LaZrO3,-9.093685098,-3.428166948,0.28710248682499,0.0,6.261569380374259,73.75816404510208,5,True,False,"La,O,Zr",3,Cubic,221,Pm-3m,4.193758,4.193758,4.193758,90.0,90.0,90.0
mp-1188025,ZrNiO3,-7.600537864,-1.766193799,1.009210973999997,0.0,6.538318643506497,50.26469396929328,5,True,False,"Ni,O,Zr",3,Cubic,221,Pm-3m,3.690521,3.690521,3.690521,90.0,90.0,90.0
mp-1188011,ZrBeO3,-8.293399844,-2.867200542,0.662112432,0.6259,5.895549670305644,41.75165948717156,5,True,False,"Be,O,Zr",3,Cubic,221,Pm-3m,3.469162,3.469162,3.469162,90.0,90.0,90.0
mp-1188026,ZrBO3,-8.09859658,-2.084401496833334,1.162429119299998,0.0,6.076679151888352,40.99870729715771,5,True,False,"B,O,Zr",3,Cubic,221,Pm-3m,3.448181,3.448181,3.448181,90.0,90.0,90.0
mp-1239170,ZrBeO3,-7.325005726,-1.898806424,1.630506549999998,0.0,3.5294862012939383,69.74074080076234,5,True,False,"Be,O,Zr",3,Cubic,221,Pm-3m,4.116191,4.116191,4.116191,90.0,90.0,90.0
mp-3323,SrZrO3,-8.623552264,-3.606749917,0.05490891149999601,3.214399999999999,5.09297632587517,73.96074740540564,5,False,False,"O,Sr,Zr",3,Cubic,221,Pm-3m,4.197594,4.197594,4.197594,90.0,90.0,90.0
mp-3834,BaZrO3,-8.701280686,-3.639168969000001,7.172199999949669e-05,3.0377,6.143794292287296,74.74546324141521,5,False,False,"Ba,O,Zr",3,Cubic,221,Pm-3m,4.21238715,4.21238715,4.21238715,90.0,90.0,90.0
mp-542112,CaZrO3,-8.55771869,-3.478281985,0.1918930845,3.2122,4.135496361472064,71.99498215571205,5,False,False,"Ca,O,Zr",3,Cubic,221,Pm-3m,4.160071,4.160071,4.160071,90.0,90.0,90.0
mp-613402,SrZrO3,-6.161220496,-1.144418149,2.517240679499997,0.0,4.405798144796697,85.49650328956366,5,False,False,"O,Sr,Zr",3,Cubic,221,Pm-3m,4.405374,4.405374,4.405374,90.0,90.0,90.0
mp-771055,EuZrO3,-10.282810812,-3.546871699999999,0.09331918650000201,0.38770000000000004,6.538823412138973,73.94695196343135,5,True,False,"Eu,O,Zr",3,Cubic,221,Pm-3m,4.197333,4.197333,4.197333,90.0,90.0,90.0
mp-972066,ZrAlO3,-8.373685417999999,-2.946253523,0.5159898236,0.0,5.572820739004825,49.523897122439884,5,True,False,"Al,O,Zr",3,Cubic,221,Pm-3m,3.672301,3.672301,3.672301,90.0,90.0,90.0
mp-972296,ZrOsO3,-8.15535153,-1.231561315,1.459629599000003,0.0,9.038334595947893,60.52754994516142,5,True,False,"O,Os,Zr",3,Cubic,221,Pm-3m,3.926307999999999,3.926307999999999,3.926307999999999,90.0,90.0,90.0
mp-1215965,YZrO3,-9.583364237249999,-3.6032292082499993,0.12390962875833302,0.5552,5.2606006344276395,576.0795248103736,40,True,False,"O,Y,Zr",3,Orthorhombic,24,I2_12_12_1,9.078940373270937,9.078940373270937,9.078940373270937,109.57915614528778,109.42338031648335,109.41117961716239
mp-776024,CaZrO3,-8.724246397749999,-3.644809692749999,0.025365376749999002,3.744799999999999,4.388251250010517,542.7856698013446,40,True,False,"Ca,O,Zr",3,Orthorhombic,32,Pba2,5.831835,8.123604,11.457092,90.0,90.0,90.0
mp-647557,ZrPbO3,-8.26661826725,-2.84577212425,0.030387463562497004,3.2094,7.596076936112935,605.8365142698349,40,False,False,"O,Pb,Zr",3,Orthorhombic,32,Pba2,6.042341,8.386099,11.956119,90.0,90.0,90.0
mp-20337,ZrPbO3,-8.264104421999999,-2.843258278999999,0.032901308812498004,2.6727,7.533522789829773,76.35838009464848,5,False,False,"O,Pb,Zr",3,Orthorhombic,38,Amm2,4.276790774412281,4.276790774412281,4.176356,90.0,90.0,91.63483789119584
mp-766243,YZrO3,-9.6254433785,-3.6453083495,0.08183048750833201,0.42700000000000005,5.304086945191579,571.3564549400056,40,True,False,"O,Y,Zr",3,Monoclinic,5,C2,9.051403480655361,9.051403480655361,10.447881503828897,54.78788822853178,54.78788822853178,70.17659656807494
mp-1101702,NdZrO3,-9.081503696999999,-3.4495574815,0.19998182252498903,0.0,6.577111695204162,572.5350578135857,40,True,False,"Nd,O,Zr",3,Orthorhombic,55,Pbam,6.150013,8.226357,11.316666,90.0,90.0,90.0
mp-542903,ZrPbO3,-8.271159751,-2.850313608,0.025845979812496003,2.7752,7.747064328868598,594.0289866900115,40,False,False,"O,Pb,Zr",3,Orthorhombic,55,Pbam,5.978924,8.317035,11.945823,90.0,90.0,90.0
mp-1100803,ZrPbO3,-8.260584683000001,-2.83973854,0.036421047812496006,2.6290999999999993,7.52649902407487,305.71855243585884,20,True,False,"O,Pb,Zr",3,Monoclinic,6,Pm,4.295244326386218,8.444227195807205,8.429317,90.0,90.0,90.52704893243465
mp-1106293,EuZrO3,-10.376129998500002,-3.640190886500001,0.0,0.18659999999999902,7.053166080151789,274.21787904044083,20,False,False,"Eu,O,Zr",3,Orthorhombic,62,Pnma,5.745465810001851,5.8447403300006595,8.165923400006559,90.0000538032882,90.0001131014157,90.00000107174185
mp-4387,SrZrO3,-8.6784611755,-3.661658828500002,0.0,3.6122,5.415575897777201,278.2199660312183,20,False,False,"O,Sr,Zr",3,Orthorhombic,62,Pnma,5.79524115,5.8442896,8.21457412,90.0,90.0,90.0
mp-4571,CaZrO3,-8.7496117745,-3.670175069499999,0.0,3.8263,4.603084505750543,258.7265007863652,20,False,False,"Ca,O,Zr",3,Orthorhombic,62,Pnma,5.58500572,5.77809678,8.01738023,90.0,90.0,90.0
mp-755055,ZrCrO3,-9.6000272715,-2.9911010485,0.085932194166669,1.5603,5.095437039969209,249.26258918175745,20,True,False,"Cr,O,Zr",3,Orthorhombic,62,Pnma,4.953036000029881,5.382382000072923,9.349989000104866,89.99951004735047,89.99976789114363,89.99966772920476
mp-755798,ZrPbO3,-8.2620602365,-2.841214093499999,0.034945494312497,2.9213,7.889928130597705,291.6364190475536,20,True,False,"O,Pb,Zr",3,Orthorhombic,62,Pnma,5.8893249999999995,5.92742,8.354309,90.0,90.0,90.0
mp-756665,ZrCoO3,-8.8233933775,-2.7183933045,0.078509806999996,1.9991,5.75193460615361,228.8237243191404,20,True,False,"Co,O,Zr",3,Orthorhombic,62,Pnma,5.033712154719319,5.4141420025370595,8.396207675388812,89.99761956962227,89.95374453761909,90.00071824223346
mp-3626,SrZrO3,-8.671277419,-3.654475072000001,0.007183756499996001,3.416,5.399903088261012,279.02747839948415,20,False,False,"O,Sr,Zr",3,Orthorhombic,63,Cmcm,5.8148645780526484,5.8148645780526484,8.25266177,90.0,90.0,90.63032988376749
mp-1080575,SrZrO3,-8.673868736500001,-3.657066389500001,0.004592438999996,3.4652,5.402446184095341,139.44806583680602,10,True,False,"O,Sr,Zr",3,Orthorhombic,74,Imma,5.812358170295947,5.812358170295947,5.812358170295947,90.50057896488529,119.61211846385415,119.81080515265577
mp-1068742,SrZrO3,-8.63012045,-3.613318103,0.048340725499997,3.2609,5.050542186479427,74.58215804793349,5,True,False,"O,Sr,Zr",3,Tetragonal,99,P4mm,4.176861,4.176861,4.2749880000000005,90.0,90.0,90.0
mp-1182642,CdSnO3,-5.720829872,-1.7581368599999991,0.079610972000002,0.7079000000000001,5.949277673370609,155.81331424913833,10,True,False,"Cd,O,Sn",3,Monoclinic,11,P2_1/m,6.704443504277891,8.489199226038933,3.365316349901744,89.84814720464516,120.33625722831562,73.32165020362447
mp-769144,SnGeO3,-6.60144247,-1.9061459250000001,0.039728433999997,2.281099999999999,4.912835917624815,970.7966069728828,60,True,False,"Ge,O,Sn",3,Monoclinic,13,P2/c,7.15438283,11.747972558703031,13.32631947836365,60.08063354741478,90.0,90.0
mp-776110,SiSnO3,-7.442037581833333,-2.5862830018333343,0.029296765500003003,2.6768,4.257681887947367,911.6581951128397,60,True,False,"O,Si,Sn",3,Monoclinic,13,P2/c,7.049169,11.394763,13.098301160199364,60.05563921605454,90.0,90.0
mp-1343054,YSnO3,-7.845878460500001,-2.7733691865,0.20043593684375002,1.9502000000000002,5.877643125660857,288.862121719322,20,True,False,"O,Sn,Y",3,Monoclinic,14,P2_1/c,5.932529,5.662117,10.265709039244197,56.89690747569488,90.0,90.0
mp-1340379,AlSnO3,-6.956433518,-2.436627378,0.23543624212500203,0.0,5.027428680722427,255.89970394060344,20,True,False,"Al,O,Sn",3,Monoclinic,14,P2_1/c,5.216532,5.317443,10.201130890990125,64.73593708971856,90.0,90.0
mp-12867,SrSnO3,-6.7398282725000005,-2.630651680499999,0.006706956999999,1.5550000000000002,6.354962395647654,132.91090821475046,10,False,False,"O,Sn,Sr",3,Tetragonal,140,I4/mcm,5.755857675696124,5.755857372322541,5.755854613948988,120.91879939293918,120.91880339267503,88.41596686931939
